timestamp,133,130,128,132,131,129,126,134,127,125,145,144,143,142,141,140,139,138,137,136,135
46800,,,999834.0,718042.0,706905.0,1555401.0,1061145.0,910631.0,1712280.0,968663.0,2448200.0,1396017.0,526352.0,,743528.0,1463695.0,732102.0,753815.0,1976520.0,910422.0,1133568.0
48600,,,1008783.0,725421.0,711590.0,1562187.0,1071240.0,917830.0,1740973.0,977093.0,2487820.0,1411295.0,533395.0,488887.0,752625.0,1501505.0,737830.0,760437.0,2007262.0,917190.0,1141242.0
50400,512330.0,,1015376.0,729356.0,717976.0,1569795.0,1079717.0,924071.0,1768892.0,983280.0,2534532.0,1420960.0,539585.0,493898.0,756841.0,1540812.0,745995.0,765227.0,2048345.0,924349.0,1149736.0
52200,516729.0,,1021067.0,734230.0,722974.0,1580498.0,1086768.0,,1798924.0,992345.0,2591903.0,1435725.0,545930.0,500190.0,763228.0,,749493.0,771933.0,2093967.0,936491.0,1156062.0
54000,521342.0,,1030643.0,741108.0,731865.0,1587630.0,1093075.0,945026.0,1829929.0,999041.0,2651960.0,1445380.0,551585.0,505909.0,773235.0,1625627.0,755279.0,777002.0,2129056.0,942752.0,1168186.0
55800,528900.0,,1044738.0,747053.0,741761.0,1595592.0,1103850.0,964634.0,1868541.0,1006887.0,2737180.0,1458136.0,560793.0,513239.0,778573.0,1664550.0,761374.0,,2165975.0,954094.0,1179569.0
57600,540990.0,,,752165.0,758411.0,1604278.0,1118636.0,976375.0,1906677.0,1015783.0,2848929.0,1471612.0,570200.0,521980.0,783281.0,1703937.0,771164.0,786103.0,2206533.0,972573.0,1195050.0
59400,548704.0,,1074643.0,760520.0,772975.0,1615246.0,1132304.0,996610.0,1942992.0,1029380.0,2866368.0,1493094.0,579395.0,530383.0,790887.0,1748400.0,781975.0,798725.0,2240189.0,988329.0,1210240.0
61200,555190.0,,1086404.0,770269.0,786519.0,1624511.0,1150427.0,1008468.0,1989451.0,1040888.0,2943052.0,1507143.0,588525.0,537521.0,799617.0,1786993.0,789614.0,806987.0,2267208.0,999762.0,1220700.0
63000,565075.0,,1105581.0,780791.0,796565.0,1629319.0,1167302.0,1018773.0,2031409.0,,3018032.0,1521774.0,,546865.0,812980.0,1829286.0,800650.0,815050.0,2310097.0,1012865.0,1228332.0
64800,571595.0,,1125312.0,790195.0,804752.0,1642374.0,1184816.0,1028760.0,2070491.0,1074908.0,3082052.0,1538900.0,610648.0,553845.0,823592.0,1866755.0,817195.0,824320.0,2377305.0,1026320.0,1243210.0
66600,580067.0,,1147801.0,799876.0,813920.0,1652573.0,1206561.0,1038940.0,2108019.0,1097595.0,3155223.0,1558325.0,623221.0,562564.0,839623.0,1911487.0,830332.0,834173.0,2402709.0,1033880.0,1255067.0
68400,587970.0,,1166112.0,813161.0,823509.0,1667318.0,1228183.0,1054754.0,2131748.0,,3242626.0,1578920.0,635296.0,569581.0,848787.0,1945073.0,838800.0,845303.0,2442754.0,1051200.0,1267571.0
70200,,,1189071.0,824487.0,834933.0,1681304.0,1247981.0,1070177.0,2152919.0,1142915.0,3298572.0,1597662.0,647531.0,577955.0,865658.0,1982891.0,854400.0,863410.0,2508238.0,1070680.0,1282404.0
72000,606255.0,,1203969.0,838505.0,842717.0,1694889.0,1270212.0,1082790.0,2179341.0,1165545.0,3374743.0,1617885.0,659824.0,585710.0,882705.0,2030274.0,871954.0,875326.0,2542826.0,1082913.0,1293539.0
73800,616705.0,,1218402.0,853300.0,853891.0,1704563.0,1300723.0,,2192348.0,1179328.0,3442141.0,1639805.0,669118.0,595420.0,896383.0,2071059.0,888825.0,884304.0,2603780.0,1094670.0,1302780.0
75600,626212.0,,,865634.0,866206.0,1714740.0,1321306.0,1107884.0,2210115.0,1204232.0,3516540.0,1658395.0,683786.0,603352.0,913539.0,2122525.0,897875.0,894094.0,2667786.0,1110016.0,1318626.0
77400,635296.0,,1271879.0,880335.0,875867.0,1725925.0,1345175.0,1123765.0,2218226.0,1232373.0,3586335.0,1684316.0,694857.0,612134.0,927833.0,2159470.0,919107.0,907498.0,2725731.0,1125605.0,1336648.0
79200,642882.0,,1292129.0,892208.0,883512.0,1742380.0,1367513.0,1143432.0,2226895.0,1255695.0,3672265.0,1703103.0,704835.0,620440.0,941365.0,,935426.0,923007.0,2794704.0,1141168.0,1353052.0
81000,650094.0,,1316434.0,904349.0,896629.0,1756869.0,1396981.0,1160747.0,,1279799.0,3750360.0,1723960.0,717464.0,627663.0,954550.0,2220686.0,948295.0,933426.0,2856725.0,,1364935.0
82800,658558.0,,1340548.0,920281.0,904006.0,1771485.0,1424475.0,1177554.0,,1307110.0,3828372.0,1748404.0,729075.0,635978.0,972173.0,2251690.0,962452.0,948084.0,2917106.0,1167793.0,1379242.0
