timestamp,125,126,127,128,129,130,131,132,133,134
93600,1848558.0,1849424.0,,1774538.0,2103491.0,7034109.0,1184735.0,1145038.0,828482.0,1580067.0
95400,1893226.0,1868845.0,,,2122996.0,7120115.0,1217824.0,1164171.0,837326.0,1599141.0
97200,1927578.0,1895090.0,,1813718.0,2138935.0,7169795.0,1241265.0,1181624.0,849700.0,
99000,1963825.0,1931517.0,,1834038.0,2160519.0,7226129.0,1257255.0,1193670.0,860633.0,1664420.0
100800,2004115.0,1953327.0,,1863183.0,2184072.0,7352643.0,1283389.0,1212633.0,874991.0,1685807.0
102600,2025773.0,,,,2205152.0,7453858.0,1303259.0,,891406.0,1715152.0
104400,2059739.0,2013636.0,,1915465.0,2241263.0,7548140.0,1323342.0,1223303.0,914128.0,1749220.0
106200,2095250.0,2047317.0,,1946195.0,2260080.0,7643380.0,,1236322.0,929398.0,1776472.0
108000,2128607.0,,,1978111.0,2295622.0,7707303.0,,1258263.0,946135.0,1817265.0
109800,2168520.0,2123175.0,,2006993.0,2312925.0,7797217.0,1404473.0,1279297.0,969462.0,1853436.0
111600,2211029.0,2164064.0,,,2329429.0,7919797.0,1432982.0,,990576.0,1894030.0
113400,2245454.0,2209872.0,,2038804.0,2341389.0,8010954.0,1467003.0,,1018649.0,1952333.0
115200,2286233.0,,,2075678.0,2349741.0,8099768.0,1484658.0,,1041140.0,1987354.0
117000,2322895.0,2242046.0,,2093588.0,2370362.0,8191442.0,1503035.0,,,2013093.0
118800,2367606.0,2261711.0,,2103477.0,2377793.0,8250582.0,1519722.0,,1071404.0,2045496.0
120600,2391980.0,2277835.0,,2117700.0,2389046.0,8335222.0,1543965.0,,1089246.0,
122400,2427932.0,2308353.0,,2126335.0,2394482.0,,1565035.0,,1096910.0,2090622.0
124200,2452705.0,2330327.0,,2130731.0,2398341.0,8371259.0,1578764.0,,1105730.0,2107230.0
126000,2474591.0,2347671.0,,2140206.0,2402460.0,8378761.0,1593902.0,,1115200.0,2120637.0
127800,2495159.0,2360039.0,,,2404038.0,8398629.0,1603682.0,,1121923.0,2133600.0
